PROJECT,ALGO_NAME
../../../Data/supervised/GITLAB_REPOS//mynameisfiber@keras,"['MaxPooling1D', 'AveragePooling1D', 'Dense', 'MaxPooling2D', 'AveragePooling2D']"
../../../Data/supervised/GITLAB_REPOS//,"['MaxPooling1D', 'AveragePooling1D', 'Dense', 'MaxPooling2D', 'AveragePooling2D']"
